id,Name
645,Poẽta
646,D . Damascenus
647,D . Hieronymus
648,Poncium
649,Rowning
650,Iupiter
651,Argenterius
652,Cajus
653,Faustum
654,Poiretus
655,Lessius
656,Stoicus
657,S . Bernardus
658,Loche
659,Alhazen
660,Orionis
661,Denique
662,Elias
663,Platerus
664,Aristorelica
665,Geulinx
666,Wolffii
667,Arr
668,Dominus Deus
669,Ouiedo
670,Linus
671,Pbilos
672,Blancanus
673,Euripides
674,Bassone
675,Basiliscus
676,Aser
677,Fabricius
678,Paulus Venetus
679,Tacquetus
680,Timao
681,Hookius
682,Nemtonus
683,Franciscus Bayle
684,Vitellionis
685,Iuda
686,Tychonis Brahe
687,Sempronius
688,Doẽt
689,Virg
690,Ode Princ
691,Lockio
692,Gracis
693,Pemberton
694,Julii Cæsaris
695,Solon
696,Herculeum
697,Clemens Alexandrinus
698,Carreus
699,Aldrovandus
700,Patricio
701,Doctor
702,Rondeletius
703,Mastrium
704,Comenius
705,D . Fromondus
706,P . Hurt
707,Sempronio
708,Epictetus
709,Dodonæus
710,Boctius
711,Mauritius
712,Anaximandro
713,Xerxes
714,Lipsius
715,Ioh
716,Samuel
717,Scheiblerus
718,Meurissius
719,LAMBERT
720,Porphirius
721,Patacelsus
722,Ælianus
723,Pazæi
724,Manilius
725,Levinus Lemnius
726,Verulamio
727,Archelaus
728,Nestorius
729,Arit
730,Simon
731,Biilfingerus
732,Apollonius
733,Enoch
734,Petio
735,Rob
736,Ludouicus
737,AFF
738,Anti
739,Wolffius
740,Fortuna
741,Snellius
742,Gesnerus
743,Deiĩ
744,S . Francisci
745,Keckerm
746,Rohaultii
747,Ioannis Duns Scoti
748,Robault
749,Cyrillus
750,Philolaus
751,Ambrosio
752,Nazianzenus
753,Porphyriana
754,Gen
755,Achillinus
756,Iovem
757,Danæus
758,King
759,Christoph
760,Chrisii
761,Averroës
762,Derham
763,Arisotele
764,Gel
765,Dion
766,Herman
767,Roderic
768,Maimonides
769,Satana
770,Glauberus
771,Daniel Sennertus
772,Mariam
773,Baralipton
774,Divi Thomæ
775,Iandunus
776,Telesius
777,Genesis
778,Soncinatis
779,Malebranche
780,Hermolaus Barbarus
781,Calo
782,S . Petri
783,Nicomachum
784,Guericke
785,Rocchio
786,Berosus
787,Piccol
788,Levi
789,Adamantis
790,Iohannes
791,Claramont
792,Harveus
793,Ægid
794,Fracastorium
795,Vitruvio
796,Lansbergius
797,Celarent
798,Benedict
799,OTAND
800,Diodorus Siculus
801,Celeberr
802,Dandinus
803,Mariæ
804,Beguinus
805,Protagoras
806,Herod
807,Priscis
808,Hero
809,Roder
810,Patritius
811,Du Hamel
812,Sebast
813,ANTONIUS LEEUWENHOEKIUS
814,Diuus Augustinus
815,GALILAEUS
816,Basso
817,Aẽris
818,D Thom
819,Arint
820,Athanasius Kircherus
821,Perseus
822,Scheibl
823,Cyrus
824,Buddei
825,Anstot
826,Abramo
827,Hermet
828,Darij
829,Ferrariensis
830,Sancheæ
831,Boctium
832,Dionysio
833,Xircher
834,Rada
835,Aristoles
836,Deusingii
837,Wolsii
838,Copernicæa
839,Tiberio
840,Kerger
841,Plempius
842,Paschalius
843,Claramontius
844,Bulfingerii
845,Georg . Agricola
846,Petrus Niger
847,Celeb
848,Gabricl
849,Averroẽs
850,Dodonæi Pemptad
851,Picardus
852,Alcinous
853,Fabius
854,Philebo
855,Possidonius
856,Athenæus
857,Posterius
858,Jesu Christi
859,Vesalius
860,Peter
861,Pazri
862,Juda
863,Pomponatius
864,Robert Boyle
865,Denm
866,Iulianum
867,Lemery
868,Jonston
869,Geber
870,Æneid
871,Vasqueæ
872,Magnenus
873,Suidas
874,Valent
875,Alexandrino
876,Bachone
877,Apuleius
878,Athanasius
879,Macrobius
880,Antonio
881,Vitello
882,Chtisti
883,Esaiæ
884,Cratylo
885,Scheuchzerus
886,Renatus
887,Aristotelicorum
888,Regulus
889,Anti - Christi
890,Foxius
891,Gravesandio
892,Curcellæus
893,Diana
894,Diogenes Laertius
895,Casmannus
896,Nevvtonus
897,Pappus
898,BOSCOVICHII
899,Iouis
900,Cornæus
901,Stagir
902,Eliæ
903,Paræus
904,Vitellio
905,Amicus
906,P . Dechales
907,D . Petri
908,Deique
909,Perrault
910,VVolfio
911,Orbel
912,Tatar
913,Hiob
914,PASCAL
915,P . Suareæ
916,Maginus
917,Aquilonius
918,Chriiti
919,Mævii
920,Chri
921,Sortes
922,Damon
923,Meurerus
924,Galeuus
925,Torquatus
926,Vossio
927,Baroco
928,Mayron
929,Arriagæ
930,Collins
931,Pilatus
932,Suessan
933,Galil
934,Vasq
935,Peripatetic
936,Platonicæ
937,Tartaretus
938,Pon
939,Theodosii
940,Homo
941,Hurt
942,Aristippi
943,Fons
944,Ferio
945,Divum Thomam
946,Hamelio
947,Clemente
948,P . Hauser
949,P . Fabri
950,Boethius
951,Clarhe
952,Thomas Erastus
953,Leone X
954,Halesius
955,S . Hieronymus
956,Polycletus
957,Cassiopeia
958,Aaronis
959,Bono
960,Paschalii
961,Petr . Gassend
962,Sophocles
963,Themistio
964,Dechales
965,Voltaire
966,Digbæus
967,Beli
968,Stagirita
969,Galeo
970,Cornelii
971,Seth
972,Gustus
973,Petitus
974,Valesius
975,Jacobus Martini
976,sanctus Hieronymus
977,Neuwtoni
978,Gideo
979,Cheyne
980,Martialis
981,Scribonius
982,S . Dionysius
983,Vespasianus
984,Suetonius
985,Prolemæus
986,M . DE MAIRAN
987,P . Hurtado
988,Fuchsius
989,Tycho Brahæus
990,Boerhavius
991,M . Ferre
992,Frane
993,Diuus
994,Fienus
995,Sara
996,Maevius
997,Ansel
998,Scotista
999,Bern
1000,Robertus Boylæus
1001,Darapti
1002,Miscell
1003,Ariũt
1004,Aquin
1005,Sol
1006,Chrysost
1007,Leibnitz
1008,Sanchez
1009,Gregorij
1010,Pontanus
1011,Nestorium
1012,Cassiniana
1013,Scaliget
1014,Papinus
1015,Salas
1016,Petrus Ramus
1017,Domitiano
1018,Auerroẽs
1019,Alensis
1020,Nicolai
1021,Schoock
1022,Patritio
1023,Michaelis
1024,Ophiuchi
1025,Olaus Magnus
1026,Horst
1027,Noleti
1028,Leslie
1029,Severin
1030,Adrian
1031,Scuerinus
1032,Flamstedius
1033,Philostratus
1034,Nyssenus
1035,Prometheus
1036,Lanis
1037,Boyliana
1038,Ocham
1039,Philonis
1040,PhiIosophus
1041,Stobæus
1042,Garcæus
1043,Hippoct
1044,Musschenbrækius
1045,Sapiens
1046,Langius
1047,Jurinus
1048,Clarkii
1049,Syr
1050,Des - Cartes
1051,Pagani
1052,Emanuel Maignan
1053,Stevin
1054,Delphinus
1055,Mussembrœck
1056,Petrus Hispanus
1057,Gerard
1058,Desaguliers
1059,Iustinus
1060,Epimenides
1061,Victor
1062,Bulfingerius
1063,Averrhoes
1064,Sophista
1065,Maior
1066,Erasmo
1067,Pindarus
1068,D . Rivetus
1069,Lucæ
1070,Galilæus Galilæi
1071,Xeplerus
1072,Origanus
1073,Albertus M
1074,Iesu
1075,Brutorum
1076,Ezech
1077,Satanæ
1078,Meisner
1079,Timoth
1080,Gennarum
1081,Epit
1082,Sophiam
1083,Scharf
1084,Sylvius
1085,Lynceus
1086,Catoptrica
1087,Eustratius
1088,Cabæus
1089,Isaias
1090,Patri
1091,Vallesio
1092,Tyroni
1093,D . Bonaventura
1094,Aurcolus
1095,Pherecydes
1096,Eugubinus
1097,Moses Gen
1098,P . Suar
1099,Cepheus
1100,Peucerus
1101,Marsilius Ficinus
1102,Porphirio
1103,Georgius Agricola
1104,Crassotius
1105,Montanus
1106,Anstorele
1107,Fides
1108,Fallopius
1109,M . Newton
1110,Robertus
1111,Mocenicus
1112,Pazi
1113,P . Oviedo
1114,CLYPEVS
1115,Javellus
1116,"Petro , Paulo"
1117,Clavio
1118,Homerico
1119,Leibnitzii
1120,Anglus
1121,Fonscca
1122,Ferch
1123,Canus
1124,Cyprianus
1125,Porphytio
1126,D . Mariotte
1127,Sealiger
1128,Burgersdicius
1129,Seuerinus
1130,Maccovius
1131,Murcia
1132,Plaronem
1133,Thomisiæ
1134,Burgersdicii
1135,ARNOLDI GEULINX
1136,Mævius
1137,Virgilianum
1138,D . Scottus
1139,Iob
1140,Maj
1141,le Grand
1142,Bacconius
1143,Dein
1144,Masium
1145,Mirandulanus
1146,Esaiam
1147,Maurus
1148,Cælius Rhodiginus
1149,Wallisii
1150,Conradus
1151,Scou
1152,Newtonianæ
1153,Fabry
1154,Lerma
1155,Stanleii
1156,Scheuchæeri
1157,W . Deurhoff
1158,Mahometis
1159,Gilbertus Jacchæus
1160,Picus Mirandulanus
1161,Deæ
1162,Franciscus Vallesius
1163,Hervæus
1164,GOCLENII
1165,Gocl
1166,Franciscus Murcia
1167,Boëtius
1168,Ludov
1169,D . Basilius
1170,Renatus Cartesius
1171,Princ
1172,Draco
1173,D . Corol
1174,Peui
1175,Baptista
1176,P . Schottus
1177,Scotũ
1178,Diocletiani
1179,Callias
1180,Bernoulliano
1181,Beccherus
1182,Georg . Agric
1183,Paz7i
1184,Gadio
1185,Hombergii
1186,Averrh
1187,Porphy
1188,Hobbesii
1189,Valerius
1190,Antonius Deusingius
1191,Danaus
1192,Tannerus
1193,Stenone
1194,Ray
1195,Ptolemaico
1196,Medina
1197,D . Greg
1198,Vicomercatus
1199,Berolin
1200,Doct
1201,Iulius Scaliger
1202,Oedipus
1203,Euclideæ
1204,Rheita
1205,Deusque
1206,Bernh
1207,Deut
1208,Des Cartes
1209,Mela
1210,Divi Augustini
1211,Gilb
1212,P . Poncio
1213,Lactantio
1214,Andala
1215,Clemente Alexandrino
1216,Ruuij
1217,Ignis
1218,Benedictina
1219,Aiistot
1220,Plal
1221,Moysen
1222,M . le Sage
1223,Philosephus
1224,Festino
1225,Cassiodorus
1226,Cavellus
1227,Leibnizii
1228,Felapton
1229,Arrianum
1230,Ferdinando
1231,Abel
1232,Aristoile
1233,Piccolomincus
1234,Heruæus
1235,Aslac
1236,Simon Marius
1237,Ioco
1238,Aristel
1239,Michacl
1240,Moschus
1241,Burnet
1242,Parzi
1243,Ion
1244,Meriner
1245,Thomas I
1246,Felix
1247,Copern
1248,Sencca
1249,Crates
1250,Wittichius
1251,Musskenbroekius
1252,Gallo
1253,Draconis
1254,Piob
1255,Scheib
1256,Morini
1257,Dostor
1258,Margarita
1259,Maximi
1260,Ammonium
1261,Aritt
1262,Pomponius Mela
1263,Simonides
1264,Watsonio
1265,Ptolomeus
1266,Venet
1267,Chriti
1268,De la Hire
1269,Columella
1270,Ptolomée
1271,Pecrus
1272,Maurolycus
1273,NEVTONIANA
1274,Paullo
1275,Aristophanes
1276,Josephus Acosta
1277,Zoroaster
1278,Philo Judæus
1279,Mars
1280,Suatez
1281,Menander
1282,Andromeda
1283,D . Anselmus
1284,Alb
1285,Freig
1286,Galcnus
1287,Alexan
1288,D . Bonauentura
1289,Pazzio
1290,Grimaldus
1291,Epiphanius
1292,Augnstinus
1293,Desagulierius
1294,Atriaga
1295,Boẽthio
1296,P . Comptonus
1297,Donald
1298,Caspar Bauhinus
1299,Antiocho
1300,P . Fabry
1301,Parri
1302,Damasc
1303,Antoninus
1304,Salomo
1305,Nicolaus Cabeus
1306,Joachimus Burserus
1307,Gasendus
1308,Nieuwentitius
1309,Licetus
1310,Heinlinus
1311,Nyphus
1312,Suarij
1313,Baccius
1314,Curtius
1315,Halleius
1316,Zabatella
1317,Henricus Morus
1318,Ang
1319,Libauio
1320,Ciceroniano
1321,Ric
1322,Hales
1323,D . Hume
1324,Delrio
1325,Morlandus
1326,Idolol
1327,Fernand
1328,Caluinus
1329,Junge
1330,Tychonem Brahæum
1331,Zaharella
1332,Hesychius
1333,D . Perrault
1334,S . Damascenus
1335,P . Maurus
1336,Ioannes de Bachone
1337,Wolsfius
1338,Godoij
1339,Gaffarellus
1340,Chalcidius
1341,Pyrrhon
1342,Catullus
1343,Heraclides Ponticus
1344,Thomas Bartholinus
1345,Avicen
1346,Diog
1347,Evæ
1348,Magnanimus
1349,Snellii
1350,Romerus
1351,Ezechielis
1352,Jamblichus
1353,Dodtor
1354,Newt
1355,Simeon
1356,Marino
1357,Orbellus
1358,Sanche
1359,Ferison
1360,Pater
1361,Fonsecæ
1362,Card
1363,Livium
1364,Limburgius
1365,Theo
1366,Xenophon
1367,Otto Casmannus
1368,Laẽrtius
