Name_Dictionnary;Name;Surename;Cleaned_name;Maiden_name;Date;Discipline;Country;Pages
Monson Lady Anne Vane;Anne;Monson;Monson;;ca. 1714-1776;Natural History Collector;UK;908
Montague Lady Mary Wortley;Mary ;Wortley Montagu;;;1689-1762;Writer;UK;908-9
Murray Lady Charlotte;Charlotte;Murray ;Murray ;;1754-1809;Botanist;UK;925-26
Necker Susanne (Curchod);Susanne;Necker;Necker;;1739-1817;Writer;FR;932
Nihell Elizabeth;Elizabeth ;Nihell;Nihell;;1723-post-1772;Midwife;UK;946
De Nolde Hélène Aldegonde;Helène;Aldegonde de Nolde;;;fl. 1702;Physician;DE;348
Pettracini Maria;Maria;Petraccini;Petraccini;;fl. 1780;Anatomist;IT;1013
Philpot Mary;Elizabeth ;Philpot;Philpot;;1777?-1838;Fossil collector;UK;1018
Pierry Louise Elizabeth du;Louise ;Du Pierry;Pierry;;1746-?;Astronomer;FR;1024
Pinckney Eliza (Lucas);Eliza ;Pinckney;Pinckney;;1722-1793;Horticulturist, Agronomist;USA;1024-25
Piozzi Hester Lynch;Hester Lynch;Piozzi;Piozzi;;1741-1821;Writer ;UK;1026
Pope Clara Maria (Leigh);Clara Maria;Pope;Pope;;ca. 1768-1838;Flower Painter;UK;1040
Reinhardt Anna Barbara;Anna Barbara;Reinhart;Reinhart;;fl. 1750;Mathematician;CH;1088-89
Rodde Dorothea von (Schlözer);Dorothea ;Von Rodde-Schlözer;Von Rodde;Schotzer;1770-1825;Natural Philosopher;DE;1117
Schraders Catharina Geertruda;Catharina Geertruda;Schrader;Schrader;;1656 or 1666-1746;Midwife;NL;1165
Siebold Charlotte Marianne Heidenreich Von;Charlotte Marianne;Heidenreich Von Siebold;Siebold;Heiland;1788-1859;Physician;DE;1193
Siebold Josepha (Henning) von;Jesepha;Von Siebold;Siebold;Henning;1771-1849;Physician;DE;1193
Smith Pleasance (Reeve);Pleasance;Smith;Smith;;1773-1877;Botanical benefactor;UK;1209
Somerville Mary (Fairfax) Greig;Mary;Sommerville;Sommerville;;1780-1872;Writer on science;Scottish;1213-15
Stephens Joanna;Johanna;Stephens;Stephens;;fl. 1740;Physician, Pharmacist;UK;1226-27
Stovin Margaret;Margaret;Stovin;Stovin;;ca. 1756-1846;Botanist ;UK;1244-45
Trimmer Sarah (Kirby);Sarah;Trimmer;Trimmer;;1741-1810;Botanist;UK;1302
Turner Mary (Palgrave);Mary ;Turner;Turner;;1774-1850;Botanist, Botanical Artist;UK;1308-9
Wakefield Priscilla (Bell);Priscilla ;Wakefield;Wakefield;;1751-1832;Botany, Natural History;UK;1337
Wang Zhenyi (Chen-i);Wang;Zhenyi;Zhenyi;;1768-1797;Mathematician, Astronomer;Chinese;1345
Winthrop Hannah Fayerweather Tolman;Hannah;Fayerweather Tolam Winthrop;Winthrop;Fayerweather;18th century;Astronomer;USA;1389
Wright Lady Catherine;Catherine;Wright;Wright;;ca. 1732-1808;Natural Philosopher;UK;1404-5
